Ensembl Liver_24h_CCl4_rep4 Liver_72h_CCl4_rep1 Liver_72h_CCl4_rep2 Liver_72h_CCl4_rep3 Spleen_0h_rep1 Spleen_0h_rep2 Liver_72h_CCl4_rep4 Liver_72h_CCl4_rep5 Liver_24h_CCl4_rep1 Liver_24h_CCl4_rep2 Liver_24h_CCl4_rep3 Spleen_0h_rep3
ENSMUSG00000000001.4 69 91 146 134 125 133 91 100 146 150 57 129
ENSMUSG00000000003.15 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000028.14 0 0 0 0 6 4 0 1 0 0 0 6
ENSMUSG00000000031.15 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000037.16 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000049.11 0 0 4 6 0 1 0 0 0 2 0 0
ENSMUSG00000000056.7 14 23 28 25 19 40 8 15 20 11 11 28
ENSMUSG00000000058.6 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000078.6 134 197 303 322 155 172 169 225 190 190 148 243
ENSMUSG00000000085.16 0 0 1 0 0 0 1 2 0 1 1 0
ENSMUSG00000000088.6 0 7 5 18 3 9 1 6 2 0 0 2
ENSMUSG00000000093.6 0 0 0 0 0 1 0 0 0 0 3 0
ENSMUSG00000000094.12 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000103.12 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000120.6 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000125.5 0 0 0 0 0 0 0 0 0 2 0 0
ENSMUSG00000000126.11 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000127.14 1 0 4 1 1 1 0 0 2 3 0 0
ENSMUSG00000000131.15 32 60 78 69 55 78 60 48 36 68 33 122
ENSMUSG00000000134.17 18 28 33 38 39 36 24 26 25 34 7 40
ENSMUSG00000000142.15 0 0 0 0 0 0 0 0 0 0 0 0
ENSMUSG00000000148.17 6 12 14 20 8 21 17 6 4 2 6 17
